PIB File Number,Date Occurred,Originating Bureau,Division level,Division,Unit,Working Status,Shift,Investigation status,Disposition,Service Type,Light Condition,Weather Condition,Use of Force Type,Subject Influencing Factors,Use of Force Effective,Officer Race/Ethnicity,Officer Gender,Officer Age,Officer Years of Service,Distance Between,Subject Gender,Subject Ethnicity,Subject Age,Subject Build,Subject Height,Subject Injured,Subject Hospitalized,Subject Arrested,Subject Arrest Charges,Use of Force Reason,Officer Injured
FTN2016-0422,08/20/2016,FOB - Field Operations Bureau,8th District,Day Beats,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Force (Escort Tech),Alchohol,Yes,White,Male,56,,0 feet to 1 feet,Male,White,24,Medium,5'10'' to 6'0'',Yes,Yes,No,,Resisting Lawful Arrest,No
FTN2016-0422,08/20/2016,FOB - Field Operations Bureau,8th District,Day Beats,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Force (Escort Tech),Alchohol,Yes,Black,Male,53,,0 feet to 1 feet,Male,White,24,Medium,5'10'' to 6'0'',Yes,Yes,No,,Resisting Lawful Arrest,No
FTN2016-0422,08/20/2016,FOB - Field Operations Bureau,8th District,Day Beats,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Force (Escort Tech),Alchohol,Yes,Black,Female,40,,0 feet to 1 feet,Male,White,24,Medium,5'10'' to 6'0'',Yes,Yes,No,,Resisting Lawful Arrest,No
FTN2016-0423,08/21/2016,FOB - Field Operations Bureau,3rd District,C Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,CEW Deployment,Mentally unstable,Yes,White,Male,38,,4 feet to 6 feet,Male,Black,52,Medium,5'7'' to 5'9'',Yes,Yes,No,,refuse verbal commands,No
FTN2016-0424,08/21/2016,FOB - Field Operations Bureau,6th District,C Platoon,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Hands,Mentally unstable,Yes,White,Female,25,,0 feet to 1 feet,Female,Black,18,Small,5'0'' to 5'3'',No,Yes,Yes,,Escape,No
FTN2016-0425,08/21/2016,FOB - Field Operations Bureau,1st District,2nd Platoon,Property,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Firearm (Exhibited),Unknown,Yes,Black,Male,34,,,Male,Black,38,Small,5'4'' to 5'6'',Yes,Yes,No,,Resisting Lawful Arrest,No
FTN2016-0425,08/21/2016,FOB - Field Operations Bureau,1st District,2nd Platoon,Property,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Firearm (Exhibited),Unknown,Yes,Black,Male,27,,,Male,Black,38,Small,5'4'' to 5'6'',Yes,Yes,No,,Resisting Lawful Arrest,No
FTN2016-0425,08/21/2016,FOB - Field Operations Bureau,1st District,2nd Platoon,Property,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Firearm (Exhibited),Unknown,No,Black,Male,31,,,Male,Black,38,Small,5'4'' to 5'6'',Yes,Yes,No,,Resisting Lawful Arrest,No
FTN2016-0425,08/21/2016,FOB - Field Operations Bureau,1st District,2nd Platoon,Property,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Rifle (Discharged),Unknown,Yes,White,Male,28,,,Male,Black,38,Small,5'4'' to 5'6'',Yes,Yes,No,,Resisting Lawful Arrest,No
FTN2016-0425,08/21/2016,FOB - Field Operations Bureau,1st District,2nd Platoon,Property,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Firearm (Discharged),Unknown,No,White,Male,23,,,Male,Black,38,Small,5'4'' to 5'6'',Yes,Yes,No,,Resisting Lawful Arrest,No
FTN2016-0426,08/23/2016,FOB - Field Operations Bureau,6th District,Staff,,,,Completed,Use Of Force Authorized,Pedestrian Stop,Poor,Clear Conditions,Firearm (Exhibited),Alchohol and unknown drugs,Yes,Black,Male,47,,7 feet to 10 feet,Male,Black,45,Medium,5'7'' to 5'9'',No,No,Yes,,Other,No
FTN2016-0427,08/23/2016,MSB - Management Service Bureau,Administrative Duties Services,LWOP,,,,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Firearm (Exhibited),None detected,Yes,Hispanic,Male,51,,7 feet to 10 feet,Male,Black,23,Medium,5'7'' to 5'9'',No,No,Yes,,refuse verbal commands,No
FTN2016-0427,08/23/2016,MSB - Management Service Bureau,Administrative Duties Services,LWOP,,,,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Firearm (Exhibited),None detected,Yes,Black,Male,52,,7 feet to 10 feet,Male,Black,23,Medium,5'7'' to 5'9'',No,No,Yes,,refuse verbal commands,No
FTN2016-0427,08/23/2016,MSB - Management Service Bureau,Administrative Duties Services,LWOP,,,,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Firearm (Exhibited),None detected,Yes,Hispanic,Male,51,,7 feet to 10 feet,Male,Black,49,Medium,5'7'' to 5'9'',No,No,Yes,,refuse verbal commands,No
FTN2016-0427,08/23/2016,MSB - Management Service Bureau,Administrative Duties Services,LWOP,,,,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Firearm (Exhibited),None detected,Yes,Black,Male,52,,7 feet to 10 feet,Male,Black,49,Medium,5'7'' to 5'9'',No,No,Yes,,refuse verbal commands,No
FTN2016-0428,08/24/2016,FOB - Field Operations Bureau,8th District,B Platoon,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Firearm (Exhibited),Unknown,Yes,White,Male,28,,15 feet to 18 feet,Male,Black,34,Medium,5'4'' to 5'6'',No,No,Yes,,Other,No
FTN2016-0432,08/24/2016,FOB - Field Operations Bureau,Special Operations Division,K9 Section,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Arresting,Good,Rainy Conditions - Light,Canine (No Bite),,Yes,Black,Male,43,,,Male,Black,15,,,No,No,Yes,,Resisting Lawful Arrest,No
FTN2016-0432,08/24/2016,FOB - Field Operations Bureau,Special Operations Division,K9 Section,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Arresting,Good,Rainy Conditions - Light,Firearm (Exhibited),,Yes,White,Male,34,,,Male,Black,15,,,No,No,Yes,,Resisting Lawful Arrest,No
FTN2016-0432,08/24/2016,FOB - Field Operations Bureau,Special Operations Division,K9 Section,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Arresting,Good,Rainy Conditions - Light,Firearm (Exhibited),,Yes,White,Male,44,,,Male,Black,15,,,No,No,Yes,,Resisting Lawful Arrest,No
FTN2016-0432,08/24/2016,FOB - Field Operations Bureau,Special Operations Division,K9 Section,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Arresting,Good,Rainy Conditions - Light,Firearm (Exhibited),,Yes,White,Male,34,,,Female,Black,17,,,No,No,Yes,,Resisting Lawful Arrest,No
FTN2016-0432,08/24/2016,FOB - Field Operations Bureau,Special Operations Division,K9 Section,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Arresting,Good,Rainy Conditions - Light,Canine (No Bite),,Yes,Black,Male,43,,,Female,Black,17,,,No,No,Yes,,Resisting Lawful Arrest,No
FTN2016-0432,08/24/2016,FOB - Field Operations Bureau,Special Operations Division,K9 Section,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Arresting,Good,Rainy Conditions - Light,Firearm (Exhibited),,Yes,White,Male,44,,,Female,Black,17,,,No,No,Yes,,Resisting Lawful Arrest,No
FTN2016-0432,08/24/2016,FOB - Field Operations Bureau,Special Operations Division,K9 Section,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Arresting,Good,Rainy Conditions - Light,Canine (No Bite),,Yes,Black,Male,43,,,Female,Black,19,,,No,No,Yes,,Resisting Lawful Arrest,No
FTN2016-0432,08/24/2016,FOB - Field Operations Bureau,Special Operations Division,K9 Section,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Arresting,Good,Rainy Conditions - Light,Firearm (Exhibited),,Yes,White,Male,34,,,Female,Black,19,,,No,No,Yes,,Resisting Lawful Arrest,No
FTN2016-0432,08/24/2016,FOB - Field Operations Bureau,Special Operations Division,K9 Section,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Arresting,Good,Rainy Conditions - Light,Firearm (Exhibited),,Yes,White,Male,44,,,Female,Black,19,,,No,No,Yes,,Resisting Lawful Arrest,No
FTN2016-0432,08/24/2016,FOB - Field Operations Bureau,Special Operations Division,K9 Section,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Arresting,Good,Rainy Conditions - Light,Canine (No Bite),,Yes,Black,Male,43,,,Male,Black,17,,,No,No,Yes,,Resisting Lawful Arrest,No
FTN2016-0432,08/24/2016,FOB - Field Operations Bureau,Special Operations Division,K9 Section,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Arresting,Good,Rainy Conditions - Light,Firearm (Exhibited),,Yes,White,Male,34,,,Male,Black,17,,,No,No,Yes,,Resisting Lawful Arrest,No
FTN2016-0434,08/29/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,,,Completed,Use Of Force Authorized,Serving a Warrant,Good,Clear Conditions,Firearm (Exhibited),,Yes,Black,Male,48,,,Male,Black,28,,,No,No,No,,Other,No
FTN2016-0432,08/24/2016,FOB - Field Operations Bureau,Special Operations Division,K9 Section,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Arresting,Good,Rainy Conditions - Light,Firearm (Exhibited),,Yes,White,Male,44,,,Male,Black,17,,,No,No,Yes,,Resisting Lawful Arrest,No
FTN2016-0429,08/26/2016,FOB - Field Operations Bureau,5th District,5th District,,Regular Working,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,CEW Exhibited/Laser,None detected,Yes,Black,Male,31,,11 feet to 14 feet,Male,Black,18,Medium,5'10'' to 6'0'',No,No,No,,Resisting Officer w/Weapon,No
FTN2016-0430,08/27/2016,FOB - Field Operations Bureau,2nd District,A Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Hands,Mentally unstable,Yes,Black,Male,51,,0 feet to 1 feet,Female,Black,17,Small,5'4'' to 5'6'',No,Yes,No,,refuse verbal commands,No
FTN2016-0430,08/27/2016,FOB - Field Operations Bureau,2nd District,A Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Force (Take Down),Mentally unstable,Yes,Black,Male,45,,0 feet to 1 feet,Female,Black,17,Small,5'4'' to 5'6'',No,Yes,No,,refuse verbal commands,No
FTN2016-0430,08/27/2016,FOB - Field Operations Bureau,2nd District,A Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Hands,Mentally unstable,Yes,Black,Male,45,,0 feet to 1 feet,Female,Black,17,Small,5'4'' to 5'6'',No,Yes,No,,refuse verbal commands,No
FTN2016-0430,08/27/2016,FOB - Field Operations Bureau,2nd District,A Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Force (Take Down),Mentally unstable,Yes,Black,Male,45,,0 feet to 1 feet,Female,Black,18,Small,5'4'' to 5'6'',No,Yes,No,,refuse verbal commands,No
FTN2016-0430,08/27/2016,FOB - Field Operations Bureau,2nd District,A Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Hands,Mentally unstable,Yes,Black,Male,45,,0 feet to 1 feet,Female,Black,18,Small,5'4'' to 5'6'',No,Yes,No,,refuse verbal commands,No
FTN2016-0430,08/27/2016,FOB - Field Operations Bureau,2nd District,A Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Hands,Mentally unstable,Yes,Black,Male,51,,0 feet to 1 feet,Female,Black,18,Small,5'4'' to 5'6'',No,Yes,No,,refuse verbal commands,No
FTN2016-0431,08/27/2016,FOB - Field Operations Bureau,2nd District,B Platoon,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited),None detected,Yes,White,Male,37,,11 feet to 14 feet,Male,Black,55,Small,5'10'' to 6'0'',No,No,Yes,,Resisting Officer w/Weapon,No
FTN2016-0431,08/27/2016,FOB - Field Operations Bureau,2nd District,B Platoon,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited),None detected,Yes,White,Male,39,,11 feet to 14 feet,Male,Black,55,Small,5'10'' to 6'0'',No,No,Yes,,Resisting Officer w/Weapon,No
FTN2016-0433,08/28/2016,FOB - Field Operations Bureau,2nd District,A Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited),Unknown,Yes,White,Male,37,,15 feet to 18 feet,Male,Black,60,Medium,5'10'' to 6'0'',No,No,No,,Other,No
FTN2016-0434,08/29/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,,,Completed,Use Of Force Authorized,Serving a Warrant,Good,Clear Conditions,Firearm (Exhibited),,Yes,White,Male,38,,,Female,Black,22,,,No,No,No,,Other,No
FTN2016-0434,08/29/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,,,Completed,Use Of Force Authorized,Serving a Warrant,Good,Clear Conditions,Firearm (Exhibited),,Yes,Black,Male,48,,,Female,Black,22,,,No,No,No,,Other,No
FTN2016-0434,08/29/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,,,Completed,Use Of Force Authorized,Serving a Warrant,Good,Clear Conditions,Firearm (Exhibited),,Yes,Black,Male,28,,,Female,Black,22,,,No,No,No,,Other,No
FTN2016-0434,08/29/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,,,Completed,Use Of Force Authorized,Serving a Warrant,Good,Clear Conditions,Firearm (Exhibited),,Yes,Black,Male,48,,,Female,Black,22,,,No,No,No,,Other,No
FTN2016-0434,08/29/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,,,Completed,Use Of Force Authorized,Serving a Warrant,Good,Clear Conditions,Firearm (Exhibited),,Yes,White,Male,38,,,Female,Black,22,,,No,No,No,,Other,No
FTN2016-0434,08/29/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,,,Completed,Use Of Force Authorized,Serving a Warrant,Good,Clear Conditions,Firearm (Exhibited),,Yes,Black,Male,28,,,Female,Black,22,,,No,No,No,,Other,No
FTN2016-0434,08/29/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,,,Completed,Use Of Force Authorized,Serving a Warrant,Good,Clear Conditions,Firearm (Exhibited),,Yes,White,Male,38,,,Male,Black,26,,,No,No,No,,Other,No
FTN2016-0434,08/29/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,,,Completed,Use Of Force Authorized,Serving a Warrant,Good,Clear Conditions,Firearm (Exhibited),,Yes,Black,Male,48,,,Male,Black,26,,,No,No,No,,Other,No
FTN2016-0434,08/29/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,,,Completed,Use Of Force Authorized,Serving a Warrant,Good,Clear Conditions,Firearm (Exhibited),,Yes,White,Male,38,,,Male,Black,28,,,No,No,No,,Other,No
FTN2016-0434,08/29/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,,,Completed,Use Of Force Authorized,Serving a Warrant,Good,Clear Conditions,Firearm (Exhibited),,Yes,Black,Male,28,,,Male,Black,28,,,No,No,No,,Other,No
FTN2016-0434,08/29/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,,,Completed,Use Of Force Authorized,Serving a Warrant,Good,Clear Conditions,Firearm (Exhibited),,Yes,White,Male,38,,,Male,Black,22,,,No,No,No,,Other,No
FTN2016-0434,08/29/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,,,Completed,Use Of Force Authorized,Serving a Warrant,Good,Clear Conditions,Firearm (Exhibited),,Yes,Black,Male,48,,,Male,Black,22,,,No,No,No,,Other,No
FTN2016-0434,08/29/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,,,Completed,Use Of Force Authorized,Serving a Warrant,Good,Clear Conditions,Firearm (Exhibited),,Yes,Black,Male,28,,,Male,Black,22,,,No,No,No,,Other,No
FTN2016-0436,08/30/2016,FOB - Field Operations Bureau,8th District,C Platoon,,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Firearm (Exhibited),Unknown,Yes,Hispanic,Male,36,,15 feet to 18 feet,Male,White,24,Small,5'10'' to 6'0'',No,No,Yes,,Other,No
FTN2016-0437,08/31/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,V.O.W.S. Unit,,,Completed,Use Of Force Authorized,Serving a Warrant,Good,Clear Conditions,Firearm (Exhibited),Unknown,No,Black,Male,49,,19 feet to 21 feet,Male,Black,24,Small,5'4'' to 5'6'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2016-0438,08/31/2016,FOB - Field Operations Bureau,8th District,Narcotics,,,,Initial,Pending,Arresting,Good,Clear Conditions,Force (Take Down),None detected,Yes,Black,Male,33,,0 feet to 1 feet,Male,Black,44,Large,5'10'' to 6'0'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2016-0438,08/31/2016,FOB - Field Operations Bureau,8th District,Narcotics,,,,Initial,Pending,Arresting,Good,Clear Conditions,Hands,None detected,Yes,White,Female,39,,0 feet to 1 feet,Male,Black,44,Large,5'10'' to 6'0'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2016-0439,08/31/2016,FOB - Field Operations Bureau,3rd District,,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,CEW Exhibited/Laser,Unknown,Yes,Hispanic,Male,51,,4 feet to 6 feet,Male,Black,19,Medium,6'1'' to 6'3'',No,No,Yes,,Escape,No
FTN2016-0439,08/31/2016,FOB - Field Operations Bureau,3rd District,,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,CEW Exhibited/Laser,Unknown,Yes,Hispanic,Male,51,,4 feet to 6 feet,Male,Black,,Medium,6'1'' to 6'3'',No,No,Yes,,Escape,No
FTN2016-0440,09/01/2016,FOB - Field Operations Bureau,4th District,Neighborhood Policing,,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,CEW Exhibited/Laser,Unknown,Yes,Black,Male,53,,,Male,Black,17,,,No,No,Yes,,Battery on Police Officer,No
FTN2016-0441,09/01/2016,FOB - Field Operations Bureau,5th District,B Platoon,,,,Completed,Use Of Force Authorized,Traffic Stop,Poor,Clear Conditions,Canine (No Bite),,Yes,White,Male,48,,,Male,Black,17,,,No,No,Yes,,Resisting Officer w/Weapon,No
FTN2016-0441,09/01/2016,FOB - Field Operations Bureau,5th District,B Platoon,,,,Completed,Use Of Force Authorized,Traffic Stop,Poor,Clear Conditions,CEW Exhibited/Laser,,Yes,White,Male,40,,,Male,Black,17,,,No,No,Yes,,Resisting Officer w/Weapon,No
FTN2016-0441,09/01/2016,FOB - Field Operations Bureau,5th District,B Platoon,,,,Completed,Use Of Force Authorized,Traffic Stop,Poor,Clear Conditions,CEW Exhibited/Laser,,Yes,White,Male,40,,,Male,Black,19,,,No,No,Yes,,Resisting Officer w/Weapon,No
FTN2016-0441,09/01/2016,FOB - Field Operations Bureau,5th District,B Platoon,,,,Completed,Use Of Force Authorized,Traffic Stop,Poor,Clear Conditions,Canine (No Bite),,Yes,White,Male,48,,,Male,Black,19,,,No,No,Yes,,Resisting Officer w/Weapon,No
FTN2016-0441,09/01/2016,FOB - Field Operations Bureau,5th District,B Platoon,,,,Completed,Use Of Force Authorized,Traffic Stop,Poor,Clear Conditions,Canine (No Bite),,Yes,White,Male,48,,,Male,Black,18,,,No,No,Yes,,Resisting Officer w/Weapon,No
FTN2016-0441,09/01/2016,FOB - Field Operations Bureau,5th District,B Platoon,,,,Completed,Use Of Force Authorized,Traffic Stop,Poor,Clear Conditions,CEW Exhibited/Laser,,Yes,White,Male,40,,,Male,Black,18,,,No,No,Yes,,Resisting Officer w/Weapon,No
FTN2016-0442,09/03/2016,FOB - Field Operations Bureau,8th District,B Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,CEW Exhibited/Laser,Alchohol,Yes,White,Male,27,,11 feet to 14 feet,Female,White,40,Small,5'0'' to 5'3'',No,No,Yes,,Other,No
FTN2016-0443,09/03/2016,FOB - Field Operations Bureau,1st District,2nd Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,CEW Exhibited/Laser,Mentally unstable,Yes,White,Male,37,,0 feet to 1 feet,Female,Black,35,Large,5'0'' to 5'3'',No,Yes,Yes,,Resisting Lawful Arrest,Yes
FTN2016-0464,09/17/2016,FOB - Field Operations Bureau,1st District,2nd Platoon,,,,Completed,Use Of Force Authorized,Other,Poor,Clear Conditions,Firearm (Exhibited),,Yes,Black,Male,47,,,Male,Black,28,,,No,No,Yes,,Other,No
FTN2016-0443,09/03/2016,FOB - Field Operations Bureau,1st District,2nd Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,Hands,Mentally unstable,Yes,White,Male,26,,0 feet to 1 feet,Female,Black,35,Large,5'0'' to 5'3'',No,Yes,Yes,,Resisting Lawful Arrest,Yes
FTN2016-0444,09/04/2016,FOB - Field Operations Bureau,3rd District,3rd District,,,,Completed,Use Of Force Authorized,,,,Firearm (Exhibited),,Yes,White,Male,34,,,Male,Black,56,,,No,No,No,,,No
FTN2016-0446,09/04/2016,FOB - Field Operations Bureau,8th District,8th District,Narcotics,Regular Working,,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,Force (Take Down),Unknown,Yes,White,Female,39,,1 feet to 3 feet,Male,Black,17,Medium,5'10'' to 6'0'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2016-0446,09/04/2016,FOB - Field Operations Bureau,8th District,8th District,Narcotics,Regular Working,,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,Force (Take Down),Unknown,Yes,Black,Male,33,,1 feet to 3 feet,Male,Black,17,Medium,5'10'' to 6'0'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2016-0446,09/04/2016,FOB - Field Operations Bureau,8th District,8th District,Narcotics,Regular Working,,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,Force (Take Down),Unknown,Yes,White,Male,27,,1 feet to 3 feet,Male,Black,17,Medium,5'10'' to 6'0'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2016-0446,09/04/2016,FOB - Field Operations Bureau,8th District,8th District,Narcotics,Regular Working,,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,Force (Take Down),Unknown,Yes,White,Male,54,,1 feet to 3 feet,Male,Black,17,Medium,5'10'' to 6'0'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2016-0445,09/05/2016,FOB - Field Operations Bureau,5th District,B Platoon,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited),Unknown Drugs,Yes,White,Female,44,,11 feet to 14 feet,Male,White,42,Medium,5'10'' to 6'0'',No,No,No,,Other,No
FTN2016-0445,09/05/2016,FOB - Field Operations Bureau,5th District,B Platoon,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited),Unknown Drugs,Yes,Black,Male,27,,11 feet to 14 feet,Male,White,42,Medium,5'10'' to 6'0'',No,No,No,,Other,No
FTN2016-0447,09/05/2016,FOB - Field Operations Bureau,7th District,D.I.U.,Squad 2,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Force (Take Down),Alchohol,Yes,Black,Male,32,,11 feet to 14 feet,Male,Black,32,Medium,5'10'' to 6'0'',No,No,Yes,,Battery on Police Officer,No
FTN2016-0447,09/05/2016,FOB - Field Operations Bureau,7th District,D.I.U.,Squad 2,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,CEW Deployment,Alchohol,No,Black,Female,40,,11 feet to 14 feet,Male,Black,32,Medium,5'10'' to 6'0'',No,No,Yes,,Battery on Police Officer,No
FTN2016-0447,09/05/2016,FOB - Field Operations Bureau,7th District,D.I.U.,Squad 2,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Force (Take Down),Alchohol,Yes,Black,Female,40,,11 feet to 14 feet,Male,Black,32,Medium,5'10'' to 6'0'',No,No,Yes,,Battery on Police Officer,No
FTN2016-0449,09/06/2016,FOB - Field Operations Bureau,8th District,8th District,,Regular Working,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,CEW Exhibited/Laser,Alchohol,Yes,Black,Female,26,,1 feet to 3 feet,Male,White,26,Medium,5'7'' to 5'9'',No,No,Yes,,refuse verbal commands,No
FTN2016-0449,09/06/2016,FOB - Field Operations Bureau,8th District,8th District,,Regular Working,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,CEW Exhibited/Laser,Alchohol,Yes,Black,Female,26,,1 feet to 3 feet,Male,Black,31,Medium,5'7'' to 5'9'',No,No,Yes,,refuse verbal commands,No
FTN2016-0450,09/06/2016,FOB - Field Operations Bureau,6th District,A Platoon,,,,Initial,Pending,Call for Service,Good,Clear Conditions,CEW Deployment,None detected,No,Black,Male,48,,7 feet to 10 feet,Male,Black,39,Medium,5'7'' to 5'9'',No,No,No,,refuse verbal commands,No
FTN2016-0451,09/06/2016,FOB - Field Operations Bureau,8th District,A Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,CEW Deployment,Mentally unstable,Yes,White,Male,35,,4 feet to 6 feet,Female,White,28,Large,5'0'' to 5'3'',No,Yes,No,,refuse verbal commands,No
FTN2016-0452,09/10/2016,FOB - Field Operations Bureau,7th District,Day Watch,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited),Unknown,Yes,White,Male,42,,7 feet to 10 feet,Male,Black,32,Medium,5'10'' to 6'0'',No,No,No,,refuse verbal commands,No
FTN2016-0452,09/10/2016,FOB - Field Operations Bureau,7th District,Day Watch,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited),Unknown,Yes,White,Male,29,,7 feet to 10 feet,Male,Black,32,Medium,5'10'' to 6'0'',No,No,No,,refuse verbal commands,No
FTN2016-0452,09/10/2016,FOB - Field Operations Bureau,7th District,Day Watch,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited),Unknown,Yes,White,Female,24,,7 feet to 10 feet,Male,Black,32,Medium,5'10'' to 6'0'',No,No,No,,refuse verbal commands,No
FTN2016-0453,09/10/2016,FOB - Field Operations Bureau,7th District,Evening Watch,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited),Unknown Drugs,Yes,Black,Male,51,,1 feet to 3 feet,Male,Black,32,Small,5'4'' to 5'6'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2016-0453,09/10/2016,FOB - Field Operations Bureau,7th District,Evening Watch,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited),Unknown Drugs,Yes,Black,Male,34,,1 feet to 3 feet,Male,Black,32,Small,5'4'' to 5'6'',No,No,Yes,,Resisting Lawful Arrest,No
