Incident Type,Complaint Tracking Number,Date Complaint Occurred,Date Complaint Received by NOPD (PIB),Date Complaint Investigation Complete,Complaint classification,Investigation status,Disposition,Bureau of Complainant,Division of Complainant,Unit of Complainant,Unit Additional Details of Complainant,Working Status of Complainant,Shift of Complainant,Rule Violation,Paragraph Violation,Officer Race Ethnicity,Officer Gender,Officer Age,Officer years of service,Complainant Gender,Complainant Ethnicity,Complainant Age
Rank Initiated,2016-0054-R,2016-01-29,2016-01-29,2016-05-19,DI-1,Completed,Sustained,MSB - Management Services Bureau,Police Recruits,Training Section,,AWP - Off Duty,Between 7am-3pm,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,White,Male,25,,,,
Public Initiated,2016-0706-P,2016-04-18,2016-11-04,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,7th District,Evening Watch,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,43,,Male,Black,26
Public Initiated,2016-0796-P,2016-07-06,2016-12-06,2017-05-17,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,3rd District,A Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,45,,Female,Black,40
Rank Initiated,2016-0543-R,2016-08-12,2016-08-15,2017-12-11,DI-1,Completed,Sustained,FOB - Field Operations Bureau,Police Recruits,Training Section,,Unknown Working Status,8:00A-4:00PM,RULE 4: PERF OF DUTY,PARAGRAPH 01 - REPORTING FOR DUTY,Black,Female,27,,,,
Rank Initiated,2017-0038-D,2017-01-18,2017-01-23,2017-01-23,DI-2,Completed,Other,FOB - Field Operations Bureau,7th District,Day Watch,,Regular Working,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,33,,,,
Public Initiated,2016-0350-P,2016-04-09,2016-05-24,2017-06-12,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,4th District,,Patrol,,,RULE 3: PROF CONDUCT,PARAGRAPH 02 -Abuse of Position,Black,Male,40,,Female,Black,63
Public Initiated,2016-0448-P,2016-01-29,2016-07-13,2016-08-18,Mediation,Completed,Withdrawn - Mediation,FOB - Field Operations Bureau,1st District,Staff,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,American Ind,Male,57,,Male,Black,29
Rank Initiated,2018-0043-R,2017-01-17,2018-01-22,,DI-1,Active,Pending,FOB - Field Operations Bureau,8th District,D.I.U.,Staff,,,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,Black,Female,44,,,,
Rank Initiated,2017-0074-R,2017-02-01,2017-02-03,2018-03-13,DI-1,Completed,Other,FOB - Field Operations Bureau,Special Operations Division,Mounted,Special Assignment,Regular Working,between 12pm-8:35pm,RULE 4: PERF OF DUTY,PARAGRAPH 06 - LEAVING ASSIGNED AREA,White,Male,43,,,,
Public Initiated,2016-0488-P,2016-07-19,2016-07-28,2017-10-25,DI-1,Completed,Sustained,FOB - Field Operations Bureau,6th District,A Platoon,,,,RULE 2: MORAL CONDUCT,PARAGRAPH 02 - COURTESY,White,Male,54,,Female,Black,37
Public Initiated,2016-0040-P,2016-01-09,2016-02-04,2017-03-27,DI-1,Completed,Sustained,FOB - Field Operations Bureau,1st District,3rd Platoon,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Male,51,,Female,Black,47
Public Initiated,2016-0265-P,2016-04-07,2016-04-12,2017-06-12,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,4th District,2nd Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,43,,Female,Black,47
Public Initiated,2017-0112-P,2017-02-22,2017-02-27,2017-06-28,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,2nd District,A Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Male,45,,Female,White,25
Rank Initiated,2017-0317-R,2017-06-06,2017-06-06,,DI-1,Forwarded,Pending,ISB - Investigations and Support Bureau,Crime Lab and Evidence Division,Central Evidence & Property Section,Platoon A,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,50,,,,
Public Initiated,2017-0391-P,2017-07-08,2017-08-01,2017-11-28,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,2nd District,D.I.U.,Persons,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,39,,Male,Black,
Rank Initiated,2018-0073-R,2018-01-29,2018-01-31,2018-03-12,DI-1,Completed,Other,FOB - Field Operations Bureau,2nd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Female,26,,,,
Public Initiated,2016-0482-P,2016-07-17,2016-07-17,2017-02-28,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,3rd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,White,Male,38,,Female,Black,40
Public Initiated,2018-0110-P,2018-02-08,2018-02-15,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,2nd District,C Platoon,Patrol,Regular Working,Between 7pm-7am,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Hispanic,Male,53,,,,
Rank Initiated,2016-0696-D,2016-10-26,2016-10-26,2016-10-31,DI-2,Completed,Other,ISB - Investigative Services Bureau,Crime Lab Division,,,,,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,Black,Female,30,,Female,Black,
Public Initiated,2018-0132-P,2018-02-24,2018-02-27,2018-04-24,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,2nd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Male,34,,Female,Black,50
Public Initiated,2016-0211-P,2016-03-24,2016-03-28,2016-06-17,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,5th District,C Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,61,,Female,Black,27
Rank Initiated,2017-0432-R,2017-08-13,2017-08-13,2018-02-01,DI-1,Completed,Other,FOB - Field Operations Bureau,7th District,Evening Watch,,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,Black,Male,23,,Female,Black,44
Public Initiated,2017-0716-P,2017-02-27,2017-12-21,2018-05-11,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,4th District,D.I.U.,Squad 2,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,White,Male,29,,Male,Black,49
Public Initiated,2017-0055-P,2017-01-25,2017-01-27,2017-06-12,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,3rd District,Task Force A,Patrol,Regular Working,Between 11pm-7am,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,White,Male,,,Male,Black,34
Public Initiated,2017-0697-P,2017-11-08,2017-12-08,2018-04-17,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,1st District,Staff,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,53,,Male,Black,97
Rank Initiated,2016-0821-R,2016-12-12,2016-12-20,2018-06-06,DI-1,Completed,Other,ISB - Investigations and Support Bureau,Special Investigations Division,Street Gang Unit,Squad B,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,39,,,,
Public Initiated,2017-0448-P,2017-08-20,2017-08-21,2017-12-29,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,7th District,7th District,Patrol,Regular Working,Between 3pm-11pm,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,White,Male,31,,Female,Black,55
Rank Initiated,2018-0152-D,2018-03-08,2018-03-08,2018-03-08,DI-2,Completed,Other,PIB - Public Integrity Bureau,Administrative Investigation Section,Administrative Investigation Section,,Off Duty,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Female,52,,,,
Rank Initiated,2016-0662-R,2016-10-06,2016-10-26,2018-01-04,DI-1,Completed,Other,FOB - Field Operations Bureau,1st District,Narcotics,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,37,,,,
Rank Initiated,2017-0379-R,2017-07-01,2017-07-03,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,7th District,Day Watch,,RUI 2012-0947-C,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,33,,,,
Public Initiated,2017-0403-P,2017-07-20,2017-07-25,2018-04-04,DI-1,Completed,Sustained,FOB - Field Operations Bureau,5th District,A Platoon,,Regular Working,Between 7am-3pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Male,45,,Female,Black,26
Public Initiated,2017-0288-P,2017-05-17,2017-05-19,2017-06-28,DI-1,Completed,Sustained,FOB - Field Operations Bureau,3rd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,39,,Female,Black,54
Public Initiated,2017-0086-P,2017-02-07,2017-02-07,2017-04-27,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,3rd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Male,40,,Female,Black,34
Rank Initiated,2017-0561-R,2017-07-05,2017-10-06,2017-12-18,DI-1,Completed,Other,FOB - Field Operations Bureau,2nd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Female,32,,,,
Rank Initiated,2016-0463-R,2016-07-05,2016-07-14,2017-01-03,DI-1,Completed,Other,FOB - Field Operations Bureau,Staff,A Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,55,,,,
Public Initiated,2017-0184-P,2017-03-27,2017-03-28,2017-05-12,Mediation,Completed,Withdrawn - Mediation,FOB - Field Operations Bureau,3rd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Male,60,,Female,Black,34
Rank Initiated,2016-0149-R,2016-02-25,2016-03-02,2016-08-18,DI-1,Completed,Sustained,FOB - Field Operations Bureau,6th District,B Platoon,Patrol,Off Duty,Between 3pm-11pm,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,White,Male,29,,,,
Public Initiated,2017-0497-P,2017-04-20,2017-09-07,2018-01-16,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,2nd District,B Platoon,,,,RULE 5: REST ACTIVITIES,PARAGRAPH 07 - ACTING IMPARTIALLY,White,Male,34,,Male,White,
Public Initiated,2016-0107-P,2016-02-01,2016-02-15,2016-07-31,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,3rd District,Task Force A,,,,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,White,Male,47,,Male,Black,27
Rank Initiated,2017-0057-D,2016-11-08,2017-01-30,2017-02-01,DI-2,Completed,Other,FOB - Field Operations Bureau,4th District,3rd Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,52,,,,
Public Initiated,2017-0154-P,2017-02-13,2017-03-14,2017-06-13,DI-1,Completed,Not Sustained,ISB - Investigative Services Bureau,Crime Lab and Evidence Division,Central Evidence & Property Section,Unknown Assignment,Regular Working,Between 3pm-11pm,RULE 2: MORAL CONDUCT,PARAGRAPH 05 - VERBAL INTIMIDATION,White,Male,60,,Male,Black,
Public Initiated,2017-0002-P,2017-01-01,2017-01-04,2017-06-14,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,5th District,A Platoon,Unknown Assignment,Regular Working,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,54,,Female,White,43
Public Initiated,2017-0135-P,2017-03-04,2017-03-08,2017-04-27,DI-1,Completed,Sustained,FOB - Field Operations Bureau,Police Recruits,,,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,White,Male,30,,Female,White,29
Rank Initiated,2016-0433-D,2016-06-15,2016-06-23,2016-08-26,DI-2,Completed,Other,FOB - Field Operations Bureau,Police Recruits,,,Unknown Working Status,Unknown Shift Hours,,,Black,Male,28,,Male,Black,50
Rank Initiated,2017-0080-D,,2017-02-06,2017-02-15,DI-2,Completed,Other,FOB - Field Operations Bureau,7th District,Day Watch,,,,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,Black,Female,,,,,
Rank Initiated,2016-0056-R,2016-01-29,2016-01-29,,DI-1,Active,Pending,FOB - Field Operations Bureau,5th District,Investigations,Squad 3,,,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,Black,Male,40,,,,
Public Initiated,2017-0238-P,2016-10-15,2017-05-02,2018-04-24,DI-1,Completed,Sustained,FOB - Field Operations Bureau,8th District,D.I.U.,Persons,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Hispanic,Male,36,,Male,Black,
Public Initiated,2017-0364-P,2017-06-27,2017-07-07,2017-09-12,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,5th District,Narcotics,Patrol,Regular Working,Between 3pm-11pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Asian/Pacif,Male,34,,Female,Black,34
Public Initiated,2016-0002-P,2016-01-02,2016-01-01,2016-08-03,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,7th District,Night Watch,Patrol,Regular Working,Between 11pm-7am,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,44,,Female,White,
Public Initiated,2018-0178-P,2018-03-24,2018-03-26,2018-04-19,Mediation,Completed,Withdrawn - Mediation,FOB - Field Operations Bureau,Special Operations Division,Traffic Section,DWI Unit,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,White,Male,52,,Female,White,50
Public Initiated,2016-0457-N,2016-07-01,2016-07-14,2016-08-31,NFIM,Completed,NFIM,FOB - Field Operations Bureau,5th District,B Platoon,,Unknown Working Status,Unknown Shift Hours,NO VIOLATION OBSERVED,,Black,Male,27,,Female,Black,31
Public Initiated,2017-0532-P,2017-09-21,2017-10-10,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,1st District,Narcotics,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,55,,Male,Black,41
Public Initiated,2017-0661-P,2017-11-12,2017-11-22,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,3rd District,C Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Female,42,,,,
Rank Initiated,2017-0494-D,,2017-09-06,2017-09-20,DI-1,Completed,Other,FOB - Field Operations Bureau,1st District,Narcotics,,,,,,Asian/Pacifi,Male,,,,,
Public Initiated,2017-0470-P,2017-08-26,2017-08-28,2018-01-11,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,5th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,58,,,,
Rank Initiated,2017-0579-R,2017-08-06,2017-10-09,2018-04-24,DI-1,Completed,Other,FOB - Field Operations Bureau,1st District,1st Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,50,,,,
Public Initiated,2016-0556-P,2016-05-20,2016-08-25,,DI-1,Active,Pending,FOB - Field Operations Bureau,5th District,B Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,27,,Male,Black,60
Rank Initiated,2017-0665-R,2017-11-21,2017-11-22,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,7th District,Evening Watch,A,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,47,,,,
Rank Initiated,2017-0726-D,2017-12-27,2017-12-27,2017-12-27,DI-2,Completed,Other,MSB - Management Service Bureau,Education/Training & Recruitment Division,Training Section,Staff,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Male,26,,,,
Rank Initiated,2018-0193-R,,2018-04-02,2018-05-31,DI-1,Completed,Negotiated Settlement,FOB - Field Operations Bureau,5th District,B Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,,,,,
Public Initiated,2016-0421-P,2016-06-07,2016-06-16,2016-12-23,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,6th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,White,Male,34,,Female,Black,27
Rank Initiated,2017-0513-R,2017-09-13,2017-09-19,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,5th District,Narcotics,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,34,,,,
Public Initiated,2016-0619-P,2016-09-20,2016-09-20,2018-01-04,DI-1,Completed,Sustained,FOB - Field Operations Bureau,8th District,Bourbon Promenade,,,Between 7am-3pm,RULE 2: MORAL CONDUCT,PARAGRAPH 04 - DISCRIMINATION,Black,Female,33,,Male,White,57
Public Initiated,2016-0121-P,2016-02-20,2016-02-22,2016-06-09,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,7th District,D.I.U.,Squad 2,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Female,40,,Male,Black,66
Public Initiated,2016-0096-P,2016-01-30,2016-02-05,2017-02-28,DI-1,Completed,Sustained,FOB - Field Operations Bureau,5th District,A Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Female,42,,Female,Black,31
Public Initiated,2016-0456-P,2016-07-02,2016-07-02,2017-10-11,DI-1,Completed,Sustained,FOB - Field Operations Bureau,3rd District,Task Force A,Task Force A,Regular Working,Between 3pm-11pm,RULE 2: MORAL CONDUCT,PARAGRAPH 05 - VERBAL INTIMIDATION,White,Male,32,,Male,Black,38
Public Initiated,2017-0520-P,,2017-09-20,,DI-1,Active,Pending,FOB - Field Operations Bureau,7th District,Day Watch,,RUI 2012-0947-C,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,,,Male,Asian,
Rank Initiated,2018-0175-D,2018-03-17,2018-03-26,2018-03-26,DI-2,Completed,Other,FOB - Field Operations Bureau,2nd District,C Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,46,,,,
Public Initiated,2018-0191-P,2018-03-29,2018-04-02,2018-05-09,Mediation,Completed,Other,FOB - Field Operations Bureau,4th District,2nd Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Male,45,,,,
Public Initiated,2017-0361-P,2017-06-23,2017-06-27,2017-11-07,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,8th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,White,Male,39,,Male,Black,52
Public Initiated,2016-0511-P,2016-07-29,2016-08-01,2016-12-21,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,4th District,2nd Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,White,Male,26,,Female,Black,40
Public Initiated,2016-0031-P,2016-01-09,2016-01-17,2017-02-28,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,7th District,Day Watch,,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,White,Male,32,,Male,Black,58
Public Initiated,2016-0541-P,2012-11-08,2016-08-19,2016-12-30,DI-1,Completed,Unfounded,PIB - Public Integrity Bureau,Criminal Investigation Section,Criminal Investigation Section,Investigations,Regular Working,Between 7am-3pm,RULE 2: MORAL CONDUCT,PARAGRAPH 05 - VERBAL INTIMIDATION,Hispanic,Male,43,,Female,Black,29
Rank Initiated,2016-0364-R,,2016-05-25,,DI-1,Active,Pending,ISB - Investigations and Support Bureau,Crime Lab and Evidence Division,Central Evidence & Property Section,Platoon A,Regular Working,Between 7am-3pm,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,Black,Male,,,,,
Public Initiated,2016-0848-P,2016-03-08,2017-01-05,2017-05-02,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,5th District,A Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,47,,Male,Black,46
Rank Initiated,2017-0411-R,2017-07-06,2017-08-02,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,2nd District,Narcotics,Staff,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,White,Female,44,,,,
Public Initiated,2017-0676-P,2017-05-31,2017-11-29,2018-03-27,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,7th District,Day Watch,,,,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,Black,Male,42,,Female,Black,45
Rank Initiated,2017-0630-R,2017-09-23,2017-11-03,,DI-1,Active,Pending,FOB - Field Operations Bureau,1st District,1st Platoon,,Regular Working,Between 7am-3pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Female,40,,,,
Public Initiated,2016-0680-P,2016-10-20,2016-10-20,2017-05-02,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,7th District,Day Watch,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Male,39,,Male,Black,34
Public Initiated,2016-0633-P,,2016-09-26,2017-05-10,DI-1,Completed,Not Sustained,Office of the Superintendant,Technology Section,Administration,Support Staff,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,White,Male,,,Female,White,
Public Initiated,2017-0227-P,2017-04-23,2017-05-02,2017-09-29,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,Reserve Division,A Platoon,,,,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - AUTHORIZED FORCE,Black,Male,59,,Female,Black,24
Public Initiated,2016-0250-P,2015-08-17,2016-04-16,2017-11-28,DI-1,Completed,Sustained,ISB - Investigations and Support Bureau,Special Investigations Division,Street Gang Unit,Squad B,,,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,White,Male,30,,Male,Black,44
Public Initiated,2017-0424-P,2017-08-08,2017-08-08,2018-01-26,DI-1,Completed,Other,FOB - Field Operations Bureau,8th District,Bourbon Promenade,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,23,,Female,Race-Unknown,
Public Initiated,2016-0803-P,2016-11-28,2016-12-21,2017-05-02,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,4th District,2nd Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Male,28,,Female,Black,
Rank Initiated,2017-0229-D,2017-02-25,2017-04-21,2017-05-01,DI-2,Completed,Other,FOB - Field Operations Bureau,4th District,Task Force,A,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,36,,,,
Public Initiated,2016-0095-P,2016-02-10,2016-02-11,2018-06-21,DI-1,Completed,Sustained,MSB - Management Services Bureau,Technology Section,Staff,Adminstrative Staff,Off Duty,Between 7am-3pm,RULE 3: PROF CONDUCT,PARAGRAPH 02 -Abuse of Position,White,Male,44,,Male,White,
Public Initiated,2016-0090-P,,2016-02-08,2017-03-22,DI-1,Completed,Sustained,FOB - Field Operations Bureau,8th District,A Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,,,Female,Black,
Public Initiated,2016-0161-P,2009-08-04,2016-03-07,2016-09-07,DI-1,Completed,Exonerated,PIB - Public Integrity Bureau,PIB - Public Integrity Bureau,Unknown,Unknown Assignment,Regular Working,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,Hispanic,Male,40,,Male,White,
Public Initiated,2016-0148-P,2016-02-21,2016-03-01,2016-06-06,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,4th District,,Patrol,Regular Working,Between 11pm-7am,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Male,53,,Female,Black,39
Public Initiated,2016-0831-P,2016-11-24,2016-12-19,2017-11-28,DI-1,Completed,Sustained,FOB - Field Operations Bureau,4th District,D.I.U.,Squad 1,Regular Working,Between 7am-3pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,55,,Female,Black,42
Rank Initiated,2018-0015-R,2018-01-03,2018-01-05,2018-03-22,DI-1,Completed,Unfounded,ISB - Investigations and Support Bureau,Criminal Investigations Division,Homicide Section,Squad E,,,RULE 5: REST ACTIVITIES,PARAGRAPH 11 - INTERFERING WITH INVESTIGATIONS,White,Male,51,,,,
Rank Initiated,2016-0136-R,2016-02-23,2016-02-24,2017-05-03,DI-1,Completed,Other,FOB - Field Operations Bureau,5th District,A Platoon,Patrol,AWP - Off Duty,Between 7am-3pm,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,Black,Male,41,,,,
Public Initiated,2017-0401-P,2017-07-20,2017-08-03,2017-08-29,Mediation,Completed,Withdrawn - Mediation,FOB - Field Operations Bureau,3rd District,A Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,39,,,,
Rank Initiated,2018-0050-D,2017-01-11,2018-01-22,2018-01-22,DI-2,Completed,Other,FOB - Field Operations Bureau,8th District,Bourbon Promenade,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,54,,,,
Public Initiated,2016-0477-P,2016-07-12,2016-07-18,,DI-1,Active,Pending,FOB - Field Operations Bureau,8th District,D.I.U.,Property,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Male,33,,Male,Race-Unknown,47
